group,experiment_id,experiment_name,model,model_short,method,task,platform,seed,steps_completed,peak_reward,last10_avg,first5_avg,status,error_message,finding,wandb_run_url,hf_checkpoint_url
Tinker GRPO,frontier_gsm8k_deepseek-v3.1,frontier gsm8k deepseek v3.1,deepseek-ai/DeepSeek-V3.1,deepseek-v3.1,GRPO,gsm8k,tinker,42,20,1.0,0.85,0.85,completed,,,https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/56b99b24-03bd-5d00-ae23-831933ef53b2,tinker://56b99b24-03bd-5d00-ae23-831933ef53b2:train:0/sampler_weights/final
Tinker GRPO,cross_tool_llama-8b-inst,cross tool llama 8b inst,meta-llama/Llama-3.1-8B-Instruct,llama-8b-inst,GRPO,tool_use,tinker,42,30,0.0,0.0,0.0,failed,Complete failure - tool_use task too difficult for this model,Complete failure — tool_use task too hard for Llama-3.1-8B-Instruct (100% zero reward),https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/ca2e3a24-7401-5770-af34-a0d27177aeaa,tinker://ca2e3a24-7401-5770-af34-a0d27177aeaa:train:0/sampler_weights/final
Tinker GRPO,scale_gsm8k_qwen3-8b,scale gsm8k qwen3 8b,Qwen/Qwen3-8B,qwen3-8b,GRPO,gsm8k,tinker,42,30,0.625,0.34375,0.3125,completed,,,https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/3154dee5-4fd7-59b6-ba3b-721eef675bfc,tinker://3154dee5-4fd7-59b6-ba3b-721eef675bfc:train:0/sampler_weights/final
Tinker GRPO,scale_gsm8k_qwen3-32b,scale gsm8k qwen3 32b,qwen3-32b,qwen3-32b,GRPO,gsm8k,tinker,42,0,,,,failed,JWT authentication failure — run did not start,Blocked by Tinker JWT auth error; no training data collected,,
Tinker GRPO,scale_gsm8k_qwen3.5-4b,scale gsm8k qwen3.5 4b,qwen3.5-4b,qwen3.5-4b,GRPO,gsm8k,tinker,42,0,,,,failed,JWT authentication failure — run did not start,Blocked by Tinker JWT auth error; no training data collected,,
Tinker GRPO,scale_gsm8k_qwen3.5-27b,scale gsm8k qwen3.5 27b,qwen3.5-27b,qwen3.5-27b,GRPO,gsm8k,tinker,42,0,,,,failed,JWT authentication failure — run did not start,Blocked by Tinker JWT auth error; no training data collected,,
Tinker GRPO,scale_gsm8k_llama-8b-inst,scale gsm8k llama 8b inst,llama-8b-inst,llama-8b-inst,GRPO,gsm8k,tinker,42,0,,,,failed,JWT authentication failure — run did not start,Blocked by Tinker JWT auth error; no training data collected,,
Tinker GRPO,frontier_gsm8k_qwen3-235b,frontier gsm8k qwen3 235b,qwen3-235b,qwen3-235b,GRPO,gsm8k,tinker,42,0,,,,failed,JWT authentication failure — run did not start,Blocked by Tinker JWT auth error; no training data collected,,
Tinker GRPO,frontier_gsm8k_nemotron-120b,frontier gsm8k nemotron 120b,nemotron-120b,nemotron-120b,GRPO,gsm8k,tinker,42,0,,,,failed,JWT authentication failure — run did not start,Blocked by Tinker JWT auth error; no training data collected,,
Tinker GRPO,moe_gsm8k_qwen3-30b-moe,moe gsm8k qwen3 30b moe,qwen3-30b-moe,qwen3-30b-moe,GRPO,gsm8k,tinker,42,0,,,,failed,JWT authentication failure — run did not start,Blocked by Tinker JWT auth error; no training data collected,,
Tinker GRPO,moe_gsm8k_qwen3-30b-inst,moe gsm8k qwen3 30b inst,qwen3-30b-inst,qwen3-30b-inst,GRPO,gsm8k,tinker,42,0,,,,failed,JWT authentication failure — run did not start,Blocked by Tinker JWT auth error; no training data collected,,
Tinker GRPO,cross_tool_qwen3-32b,cross tool qwen3 32b,qwen3-32b,qwen3-32b,GRPO,tool,tinker,42,0,,,,failed,JWT authentication failure — run did not start,Blocked by Tinker JWT auth error; no training data collected,,
Tinker GRPO,arch_gsm8k_gpt-oss-20b,arch gsm8k gpt oss 20b,gpt-oss-20b,gpt-oss-20b,GRPO,gsm8k,tinker,42,0,,,,failed,JWT authentication failure — run did not start,Blocked by Tinker JWT auth error; no training data collected,,
Tinker GRPO,arch_gsm8k_kimi-k2,arch gsm8k kimi k2,kimi-k2,kimi-k2,GRPO,gsm8k,tinker,42,0,,,,failed,JWT authentication failure — run did not start,Blocked by Tinker JWT auth error; no training data collected,,
Modal PPO,ppo_qwen3-8b,ppo_gsm8k_Qwen3-8B_s42,Qwen/Qwen3-8B,qwen3-8b,PPO-REINFORCE,gsm8k,modal_h100,42,30,1.0,0.35,0.4,completed,,High variance — Qwen3-8B peaks 1.0 but last-10 avg only 0.35; unstable PPO training,https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/ppo-gsm8k-Qwen3-8B-s42,https://huggingface.co/arvindcr4/tinker-rl-bench-ppo_gsm8k_Qwen3-8B_s42
Modal PPO,ppo_llama-8b-inst,ppo_gsm8k_Llama-3.1-8B-Instruct_s42,meta-llama/Llama-3.1-8B-Instruct,llama-8b-inst,PPO-REINFORCE,gsm8k,modal_h100,42,30,1.0,0.95,0.95,completed,,"Strong performance — Llama-3.1-8B peaks 1.0, last-10 avg 0.95 on GSM8K",https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/ppo-gsm8k-Llama-3.1-8B-Instruct-s42,
Modal Other,humaneval_qwen3-8b,humaneval qwen3 8b,qwen3-8b,qwen3-8b,eval,humaneval,modal_h100,42,,,,,partial,timeout 3600s,"Partial result: 40/164 problems, cum_pass@1=65.0%; timed out at 3600s",,
Modal Other,heldout_qwen3.5-27b,heldout qwen3.5 27b,qwen3.5-27b,qwen3.5-27b,eval,heldout,modal_h100,42,,,,,partial,timeout 3600s,"Partial result: 100/200 samples, 86/100=86.0%; timed out at 3600s",,
Modal Other,heldout_qwen3-32b,heldout qwen3 32b,qwen3-32b,qwen3-32b,eval,heldout,modal_h100,42,,,,,partial,timeout 3600s,"Partial result: 100/200 samples, 33/100=33.0%; timed out at 3600s",,
Modal Other,kl_qwen3-8b,kl qwen3 8b,Qwen3-8B,qwen3-8b,PPO+KL,gsm8k,modal_h100,42,0,,,,failed,element 0 of tensors does not require grad and does not have a grad_fn,Gradient error — KL divergence PPO variant failed immediately on Qwen3-8B,,
Old TRL,trl_grpo_math_s42,TRL GRPO Math seed=42,Qwen/Qwen2.5-0.5B,qwen2.5-0.5b,GRPO,math,modal_nvidial4,42,125,0.735,0.735,,completed,,"Seed 42: accuracy=0.735, loss=0.00896, elapsed=141s",,
Old TRL,trl_grpo_math_s123,TRL GRPO Math seed=123,Qwen/Qwen2.5-0.5B,qwen2.5-0.5b,GRPO,math,modal_nvidial4,123,125,0.81,0.81,,completed,,"Seed 123: accuracy=0.810, loss=0.00699, elapsed=135s",,
Old TRL,trl_grpo_math_s456,TRL GRPO Math seed=456,Qwen/Qwen2.5-0.5B,qwen2.5-0.5b,GRPO,math,modal_nvidial4,456,125,0.62,0.62,,completed,,"Seed 456: accuracy=0.620, loss=0.00792, elapsed=142s",,
Old TRL,trl_grpo_math_s789,TRL GRPO Math seed=789,Qwen/Qwen2.5-0.5B,qwen2.5-0.5b,GRPO,math,modal_nvidial4,789,125,0.74,0.74,,completed,,"Seed 789: accuracy=0.740, loss=0.00322, elapsed=141s",,
Old TRL,trl_grpo_math_s1024,TRL GRPO Math seed=1024,Qwen/Qwen2.5-0.5B,qwen2.5-0.5b,GRPO,math,modal_nvidial4,1024,125,0.765,0.765,,completed,,"Seed 1024: accuracy=0.765, loss=0.00418, elapsed=183s",,
Old TRL,sb3_ppo_math_s42,SB3 PPO Math seed=42,SB3/PPO (policy network),sb3-ppo,PPO,math,modal,42,100352,0.035,0.008,0.009,completed,,SB3/PPO: final accuracy=0.003 — policy gradient on raw math fails without LLM,,
Old TRL,sb3_ppo_math_s123,SB3 PPO Math seed=123,SB3/PPO (policy network),sb3-ppo,PPO,math,modal,123,100352,0.045,0.008,0.008,completed,,SB3/PPO: final accuracy=0.014 — policy gradient on raw math fails without LLM,,
Old TRL,sb3_ppo_math_s456,SB3 PPO Math seed=456,SB3/PPO (policy network),sb3-ppo,PPO,math,modal,456,100352,0.02,0.0065,0.007,completed,,SB3/PPO: final accuracy=0.011 — policy gradient on raw math fails without LLM,,
Old TRL,sb3_ppo_math_s789,SB3 PPO Math seed=789,SB3/PPO (policy network),sb3-ppo,PPO,math,modal,789,100352,0.02,0.01,0.003,completed,,SB3/PPO: final accuracy=0.012 — policy gradient on raw math fails without LLM,,
Old TRL,sb3_ppo_math_s1024,SB3 PPO Math seed=1024,SB3/PPO (policy network),sb3-ppo,PPO,math,modal,1024,100352,0.025,0.01,0.003,completed,,SB3/PPO: final accuracy=0.010 — policy gradient on raw math fails without LLM,,
Old TRL,cleanrl_ppo_math_s42,CleanRL PPO Math seed=42,CleanRL/PPO (policy network),cleanrl-ppo,PPO,math,modal,42,97280,0.02,0.011,0.008,completed,,"CleanRL/PPO: final accuracy=0.010 — near-zero, confirms LLM mandatory",,
Old TRL,cleanrl_ppo_math_s123,CleanRL PPO Math seed=123,CleanRL/PPO (policy network),cleanrl-ppo,PPO,math,modal,123,97280,0.005,0.002,0.0,completed,,"CleanRL/PPO: final accuracy=0.008 — near-zero, confirms LLM mandatory",,
Old TRL,cleanrl_ppo_math_s456,CleanRL PPO Math seed=456,CleanRL/PPO (policy network),cleanrl-ppo,PPO,math,modal,456,97280,0.015,0.008,0.005,completed,,"CleanRL/PPO: final accuracy=0.014 — near-zero, confirms LLM mandatory",,
Old TRL,cleanrl_ppo_math_s789,CleanRL PPO Math seed=789,CleanRL/PPO (policy network),cleanrl-ppo,PPO,math,modal,789,97280,0.025,0.0095,0.012,completed,,"CleanRL/PPO: final accuracy=0.009 — near-zero, confirms LLM mandatory",,
Old TRL,cleanrl_ppo_math_s1024,CleanRL PPO Math seed=1024,CleanRL/PPO (policy network),cleanrl-ppo,PPO,math,modal,1024,97280,0.01,0.0025,0.004,completed,,"CleanRL/PPO: final accuracy=0.004 — near-zero, confirms LLM mandatory",,
Old TRL,tianshou_ppo_math_s42,Tianshou PPO Math seed=42,Tianshou/PPO (policy network),tianshou-ppo,PPO,math,modal,42,100000,0.025,0.0135,0.001,completed,,"Tianshou/PPO: final accuracy=0.011 — near-zero, <3s runtime indicates trivial baseline",,
Old TRL,tianshou_ppo_math_s123,Tianshou PPO Math seed=123,Tianshou/PPO (policy network),tianshou-ppo,PPO,math,modal,123,100000,0.02,0.0055,0.002,completed,,"Tianshou/PPO: final accuracy=0.002 — near-zero, <3s runtime indicates trivial baseline",,
Old TRL,tianshou_ppo_math_s456,Tianshou PPO Math seed=456,Tianshou/PPO (policy network),tianshou-ppo,PPO,math,modal,456,100000,0.02,0.01,0.007,completed,,"Tianshou/PPO: final accuracy=0.005 — near-zero, <3s runtime indicates trivial baseline",,
Old TRL,tianshou_ppo_math_s789,Tianshou PPO Math seed=789,Tianshou/PPO (policy network),tianshou-ppo,PPO,math,modal,789,100000,0.02,0.006,0.005,completed,,"Tianshou/PPO: final accuracy=0.002 — near-zero, <3s runtime indicates trivial baseline",,
Old TRL,tianshou_ppo_math_s1024,Tianshou PPO Math seed=1024,Tianshou/PPO (policy network),tianshou-ppo,PPO,math,modal,1024,100000,0.02,0.0075,0.007,completed,,"Tianshou/PPO: final accuracy=0.009 — near-zero, <3s runtime indicates trivial baseline",,
Team Member,sandhya_grpo_tool_calling_3b,Sandhya – GRPO Tool Calling (3B),3B (unspecified base),3b-tool,GRPO vs SFT,tool_calling,external,,,0.91,0.91,,completed,,GRPO 0.91 vs SFT baseline 0.72 on tool-calling — +0.19 absolute improvement with RL,,
Team Member,madhu_grpo_humaneval_qwen3-8b,Madhu – HumanEval (Qwen3-8B),Qwen/Qwen3-8B,qwen3-8b,GRPO,code_generation,external,,,0.86,0.86,,completed,,HumanEval 86% (141/164 problems) — best code-gen result in the project,,https://github.com/madhukumara1993/qwen3-grpo
Team Member,mohammad_rafi_grpo_math_qwen3-4b,Mohammad Rafi – Math Reasoning (Qwen3-4B),Qwen/Qwen3-4B,qwen3-4b,GRPO,math_reasoning,external,,,0.678,0.678,,completed,,+0.6pp accuracy gain (67.2% → 67.8%) on math reasoning with Qwen3-4B GRPO,,
Team Member,arumugam_dpo_keyword_0.5b,Arumugam – DPO Keyword Eval (0.5B),0.5B (unspecified base),0.5b-dpo,DPO,keyword_generation,external,,,,,,completed,,+25% keyword metric with DPO on 0.5B model (8 training examples — very low-data regime),,
